name,category,lat,lng,address,municipality,barangay,hotline,bed_capacity,trauma_er,facility_level,capacityInfo
Chicharooms,supermarket,14.954736,120.919111,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · fast_food
Guiguinto Registry of Deeds,government,14.854116,120.859871,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Caltex,gas_station,14.956962,120.915996,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Caltex Station,Gasoline & Diesel Fuel · Caltex
Shell,gas_station,14.822702,120.725992,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Petron Station,Gasoline & Diesel Fuel · Petron
Caltex,gas_station,14.93611,120.879176,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Caltex Station,Gasoline & Diesel Fuel · Caltex
Pulilan Cockpit,government,14.89462,120.873307,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Petron,gas_station,14.86529,120.714561,"Masantol, Pampanga",Masantol,Central,(045) 961-0000 / 911,0,False,Petron Station,Gasoline & Diesel Fuel · Petron
Total,gas_station,14.907574,120.869301,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Total Station,Gasoline & Diesel Fuel · Total
Caltex,gas_station,14.947728,120.88292,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Caltex Station,Gasoline & Diesel Fuel · Caltex
Shell,gas_station,14.948911,120.883362,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Shell Station,Gasoline & Diesel Fuel · Shell
Caltex,gas_station,14.822789,120.763252,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Caltex Station,Gasoline & Diesel Fuel · Caltex
Petron,gas_station,14.82794,120.728401,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Petron Station,Gasoline & Diesel Fuel · Petron
La Familia,supermarket,14.964691,120.899708,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Gilberts Place,government,14.868509,120.860845,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,"Municipal, Civic & Landmark Building",Public Infrastructure & Community Landmark
Sarsa At Inihaw,supermarket,14.80861,120.946495,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · restaurant
Car Store,supermarket,14.903529,120.868444,"Pampanga, Pampanga",Pampanga,Central,(045) 961-0000 / 911,0,False,Commercial & Retail Supplies Hub,Commercial & Retail Establishment · car
